Code,DA(sqmi),slope(m/m),PK0_2_width,PK50_width,bkf_width_HAND,CH_V_Q500,OB_V_Q500,CHSSPQ2,OBSSPQ2,Percent Cohesive,Percent Mixed,Percent Noncohesive,Average Depth To Bedrock
7000926,0.579672026,0.480473911,0.550295772,0.587539647,0.682914029,0.606187228,0.655989383,0.497837131,0.545828843,0.5714,0,0.4286,0.033564862
7000503,0.582742109,0.453548394,0.589374746,0.604575354,0.712284937,0.540893919,0.561238921,0.471724876,0.529444732,0.25,0,0.75,0.040858018
7002912,0.485165671,0.64263002,0.525556611,0.569339691,0.608002806,0.420120364,0.483516435,0.618174304,0.612839625,0,0,1,0.040858018
7000006,0.526611036,0.548685424,0.49283324,0.538115367,0.69318335,0.524352859,0.487231592,0.522223473,0.546317664,0.2857,0,0.7143,0.040858018
7001518,0.521845425,0.606579927,0.480463036,0.484092015,0.599514277,0.459221031,0.499830721,0.610335231,0.613727418,0.8571,0,0.1429,0.03793667
7002468,0.5908701,0.626151948,0.594873226,0.622218681,0.658186194,0.309849381,0.422473249,0.582756387,0.624304369,0,0,1,0.040858018
7002129,0.461478659,0.804726183,0.385264978,0.406850448,0.559090271,0.417629404,0.379057794,0.718150983,0.679081301,0.4,0,0.4,0.22247191
7000326,0.40190605,0.769042656,0.356985653,0.325428728,0.462685865,0.45955446,0.491635982,0.73932094,0.728949991,0.5556,0,0.4444,0.029509704
7000114,0.425326686,0.857567653,0.298498573,0.314213432,0.48833292,0.47282616,0.448758666,0.795069849,0.778792514,0.4,0,0.5,0.126557712
7001240,0.704264599,0.436301054,0.589728038,0.599212445,0.649192183,0.624754173,0.712944101,0.554323516,0.590469772,0.25,0,0.625,0.160755873
7000231,0.419349689,0.800024049,0.278742597,0.287805567,0.184265217,0.21820829,0.430594577,0.857988538,0.862377336,0.5385,0,0.3846,0.173493361
7000589,0.595767847,0.478361457,0.576881972,0.599337255,0.645425704,0.496472836,0.576244564,0.518769084,0.57801103,0,0,1,0.040858018
7000225,0.611922665,0.572274685,0.530234607,0.542141256,0.71979797,0.449667087,0.365823279,0.534808772,0.555865841,1,0,0,0.040858018
7002448,0.56199145,0.841400674,0.496619901,0.420270934,0.59682775,0.314358684,0.232058384,0.741870009,0.696820392,1,0,0,0.022982635
7000735,0.620166146,0.744249623,0.481978664,0.492390245,0.63063096,0.526339328,0.497029587,0.695157941,0.699480328,0.8333,0,0.1111,0.094147089
7002494,0.564922575,0.63747538,0.531389472,0.497536945,0.696345742,0.442368795,0.308808633,0.562148188,0.533195528,1,0,0,0.040858018
7000246,0.577783871,0.681873998,0.466375292,0.479820783,0.650572763,0.540976533,0.476689407,0.623203193,0.628918021,0.8462,0,0.1538,0.040858018
7001910,0.449907804,0.775885851,0.521632961,0.485269748,0.562944158,0.429212235,0.423139058,0.710914119,0.688453822,0.4,0,0.6,0.040858018
7000695,0.751535469,0.366986917,0.666871995,0.671874739,0.720092818,0.727987677,0.78235373,0.49463401,0.568310715,0.4348,0,0.5435,0.06092952
7000529,0.593076428,0.697809783,0.525908791,0.527040511,0.592565768,0.474992632,0.517151381,0.712685486,0.706669236,0.8571,0,0.1429,0.018968335
7000526,0.538657619,0.727665652,0.4582241,0.459495763,0.571284035,0.319519822,0.354664762,0.716171557,0.708194285,0,0,1,0.040858018
7002185,0.564922575,0.696009784,0.427817894,0.456290958,0.54402594,0.242708382,0.311779386,0.727726668,0.711819967,0,0,1,0.040858018
7000664,0.498189717,0.765367648,0.454341923,0.440279011,0.523865099,0.53402517,0.560799199,0.741678877,0.747418957,0.619,0,0.3333,0.084831461
7000657,0.504184567,0.632872899,0.592348765,0.578462224,0.546971711,0.350704359,0.433999896,0.658374752,0.635590134,0,0,1,0.040858018
7000855,0.405504425,0.739758358,0.458638897,0.423073666,0.571078226,0.423615111,0.385443653,0.657728052,0.590639469,0.6667,0,0.3333,0.040858018
7001731,0.5908701,0.703352914,0.48324967,0.46807167,0.583713445,0.45069191,0.457214735,0.721856152,0.721702737,0.8571,0,0.1429,0.040858018
7002071,0.576505078,0.683635217,0.491268557,0.509997868,0.606555047,0.256699052,0.332446809,0.680551366,0.690656894,0.5,0,0.5,0.040858018
7001601,0.574555815,0.668708406,0.523422803,0.534950301,0.591306832,0.425429884,0.47176968,0.687717593,0.687552771,0.6,0,0.4,0.030643514
7000979,0.588042197,0.725509389,0.498915621,0.482832281,0.574196247,0.280706924,0.330064932,0.737568075,0.730812418,0.3333,0,0.6667,0.040858018
7001608,0.417170728,0.769889563,0.423855719,0.430731219,0.573119889,0.372920526,0.339999082,0.678509936,0.632751081,1,0,0,0.040858018
7002262,0.418110365,0.795906014,0.374110389,0.382299332,0.554227493,0.331838599,0.273919358,0.707581863,0.665862138,0.6,0,0.4,0.030643514
7002016,0.53771504,0.721735441,0.503932454,0.483774328,0.584742196,0.430007191,0.447846893,0.703876852,0.695437018,0.7143,0,0.2857,0.040858018
7001715,0.576505078,0.635566501,0.518352857,0.472263558,0.585843821,0.370165418,0.424913954,0.666586666,0.685421642,0.5,0,0.5,0.040858018
7000762,0.781310409,0.490760442,0.653431714,0.641354596,0.748194124,0.724185962,0.708452967,0.579908496,0.627627714,0.5897,0,0.3846,0.062829418
7001001,0.411673295,0.636498081,0.609132535,0.59308406,0.679461117,0.366989101,0.354843948,0.524691659,0.472921586,0.5,0,0.5,0.040858018
7001266,0.514959258,0.761992532,0.522160112,0.520909396,0.562019815,0.453240675,0.481855516,0.729342128,0.713847193,0.8,0,0.2,0.030643514
7000874,0.412335897,0.708933407,0.498662877,0.486720369,0.627274648,0.498593163,0.454215451,0.604549621,0.541555919,0.7333,0,0.2,0.097987743
7000993,0.736117475,0.468290487,0.618796859,0.635437491,0.623589187,0.524823801,0.662366589,0.584830535,0.616512236,0.375,0,0.5,0.160755873
7001333,0.600943421,0.601801285,0.579786938,0.608894767,0.572037138,0.381101923,0.512190396,0.664182819,0.620921009,0,0,0.8,0.232686415
7002680,0.972625257,0.629138575,0.685136174,0.694800456,0.805782778,0.718390437,0.686189007,0.75038974,0.797470873,0.3889,0,0.5556,0.091307457
7002679,0.973615489,0.518615783,0.769262077,0.715974485,0.794008873,0.672566548,0.639686328,0.697502333,0.73022138,0.3333,0,0.5,0.200715015
7000963,0.972749572,0.467655589,0.742518484,0.701049939,0.776456872,0.771748639,0.797985881,0.662075803,0.701140047,0.1538,0,0.8077,0.077752809
7001763,0.973615489,0.59207385,0.723919781,0.72308357,0.770068043,0.58626614,0.546560573,0.753789866,0.802160436,0.1667,0,0.6667,0.200715015
7000836,0.970868494,0.500028446,0.727784945,0.699464629,0.768919707,0.59396279,0.611478708,0.697524851,0.699770278,0.2,0,0.6,0.225536261
7001532,0.973861528,0.528670695,0.757981221,0.720559301,0.837337784,0.678146365,0.665445373,0.671449394,0.710231388,0.1429,0,0.7143,0.177875383
7000393,0.973368845,0.503684796,0.597976718,0.611145538,0.75474719,0.610161494,0.609554817,0.708969122,0.721911834,0.25,0,0.625,0.160755873
7003079,0.973861528,0.670249007,0.673012334,0.639958191,0.726882345,0.564005405,0.545688039,0.825001092,0.848444506,0.3333,0,0.5,0.200715015
7000501,0.970995002,0.42884404,0.787447151,0.792272426,0.824560841,0.709152704,0.739139646,0.618935699,0.639908884,0,0,0.9091,0.12804903
7001756,0.453257967,0.769027767,0.388128901,0.388998594,0.584659702,0.375337551,0.302336599,0.658288957,0.59617885,0.5,0,0.5,0.040858018
7000038,0.410671118,0.76868382,0.322309322,0.287548768,0.447741254,0.473565371,0.48472872,0.749934277,0.759579926,0.5909,0,0.3636,0.073544433
7002921,0.973615489,0.628898569,0.740709449,0.714398217,0.829027202,0.568108746,0.503661232,0.739928783,0.777206694,0.1667,0,0.6667,0.200715015
7001819,0.973245296,0.614763452,0.700316486,0.685436846,0.751933579,0.597866138,0.595942876,0.778198065,0.816975772,0,0,0.8571,0.177875383
7002397,0.457767949,0.691407253,0.456965876,0.484420313,0.637970803,0.389529229,0.359121125,0.579734638,0.554398611,0.5,0,0.5,0.040858018
7001708,0.973492243,0.33570561,0.769539474,0.763867911,0.770671065,0.718547405,0.770149371,0.58674493,0.632948688,0.2222,0,0.6667,0.147425945
7001134,0.973984322,0.527629358,0.629700563,0.642079978,0.758765385,0.636608292,0.635253428,0.709660647,0.772055501,0.1111,0,0.7778,0.147425945
7002451,0.973245296,0.632790634,0.697352676,0.702786728,0.809119042,0.663004853,0.585151768,0.756968213,0.799246041,0,0,0.9091,0.12804903
7001396,0.973368845,0.386424857,0.779061457,0.729317604,0.792844735,0.73584703,0.749260726,0.611331768,0.646098786,0.0833,0,0.8333,0.120786517
7000221,0.488312759,0.594683767,0.527219517,0.489047002,0.635482789,0.41068464,0.383238722,0.531741967,0.536696638,0.5,0,0.5,0.040858018
7000229,0.45013466,0.638744916,0.521951568,0.498414715,0.663781174,0.355888781,0.261911475,0.533446967,0.373470625,0,0,1,0.040858018
7001116,0.443095522,0.617341835,0.528496338,0.444826057,0.593469595,0.412366642,0.395103814,0.556878101,0.546979691,0.75,0,0.25,0.040858018
7000956,0.492112755,0.5676956,0.580780145,0.573062396,0.633954838,0.479699127,0.49409674,0.515774528,0.522297361,0.25,0,0.75,0.040858018
7002393,0.419963659,0.654551711,0.551710105,0.540080126,0.592482412,0.484339754,0.491896994,0.560128137,0.52723635,0.75,0,0.25,0.040858018
