gnis_name,reachcode,UVM_ID
Cold Hollow Brook,4.30E+12,7000637
Cold Hollow Brook,4.30E+12,7001380
South Branch Trout River,4.30E+12,7001772
West Hill Brook,4.30E+12,7001843
Cold Hollow Brook,4.30E+12,7002305
Tamarack Brook,4.30E+12,7002599
Tamarack Brook,4.30E+12,7000340
Tamarack Brook,4.30E+12,7000952
Jay Brook,4.30E+12,7000027
South Branch Trout River,4.30E+12,7000412
South Branch Trout River,4.30E+12,7000716
Trout River,4.30E+12,7000022
Jay Brook,4.30E+12,7000849
South Branch Trout River,4.30E+12,7001051
South Branch Trout River,4.30E+12,7001175
South Branch Trout River,4.30E+12,7001558
Trout River,4.30E+12,7001618
Trout River,4.30E+12,7001634
South Branch Trout River,4.30E+12,7001401
Ruisseau Alder,4.30E+12,7004170
Rivière Sutton,4.30E+12,7004235
Rivière Missisquoi Nord,4.30E+12,7004096
Rivière Missisquoi Nord,4.30E+12,7004742
Rivière Missisquoi Nord,4.30E+12,7004752
Rivière Missisquoi Nord,4.30E+12,7004864
Rivière Missisquoi Nord,4.30E+12,7004055
Ruisseau Halfway,4.30E+12,7004254
Rivière Missisquoi Nord,4.30E+12,7004511
Ruisseau Halfway,4.30E+12,7004552
Ruisseau Brûlé,4.30E+12,7004562
Ruisseau Halfway,4.30E+12,7004604
Ruisseau Halfway,4.30E+12,7004628
Ruisseau de Province Hill,4.30E+12,7004853
Ruisseau Halfway,4.30E+12,7005015
Rivière Missisquoi Nord,4.30E+12,7005119
Ruisseau Halfway,4.30E+12,7005333
Rivière Missisquoi Nord,4.30E+12,7005598
Rivière Missisquoi Nord,4.30E+12,7005854
Ruisseau Leavitt,4.30E+12,7003305
Ruisseau Ruiter,4.30E+12,7004267
Rivière Missisquoi,4.30E+12,7005561
Rivière Missisquoi,4.30E+12,7005430
Rivière Missisquoi,4.30E+12,7005354
Ruisseau Dufour,4.30E+12,7004076
Ruisseau Ruiter,4.30E+12,7004126
Rivière Brock,4.30E+12,7004142
Rivière Missisquoi,4.30E+12,7005375
Ruisseau Ruiter,4.30E+12,7004268
Ruisseau Dufour,4.30E+12,7004288
Ruisseau Ruiter,4.30E+12,7004314
Ruisseau Ruiter,4.30E+12,7004460
Ruisseau Dufour,4.30E+12,7004595
Ruisseau Ruiter,4.30E+12,7004596
Ruisseau Singer,4.30E+12,7004621
Rivière Brock,4.30E+12,7004631
Ruisseau Ruiter,4.30E+12,7004654
Rivière Brock,4.30E+12,7004778
Ruisseau Ruiter,4.30E+12,7004782
Ruisseau Dufour,4.30E+12,7004952
Rivière Brock,4.30E+12,7005005
Rivière Missisquoi,4.30E+12,7005323
Rivière Missisquoi,4.30E+12,7005410
Rivière Missisquoi,4.30E+12,7005436
Rivière Missisquoi,4.30E+12,7005477
Rivière Missisquoi,4.30E+12,7005521
Rivière Missisquoi,4.30E+12,7005585
Rivière Missisquoi,4.30E+12,7005714
Rivière Missisquoi,4.30E+12,7005772
Rivière Missisquoi,4.30E+12,7005834
Rivière Missisquoi,4.30E+12,7005930
Ruisseau Ives,4.30E+12,7004405
Rivière Missisquoi Nord,4.30E+12,7005156
Rivière Missisquoi Nord,4.30E+12,7004437
Rivière Missisquoi Nord,4.30E+12,7004515
Rivière Missisquoi Nord,4.30E+12,7004538
Rivière Missisquoi Nord,4.30E+12,7005311
Rivière Missisquoi Nord,4.30E+12,7004968
Rivière Missisquoi Nord,4.30E+12,7005278
Rivière Missisquoi Nord,4.30E+12,7005393
Rivière Missisquoi Nord,4.30E+12,7005419
Ruisseau Ives,4.30E+12,7005437
Rivière Missisquoi Nord,4.30E+12,7005559
Rivière Missisquoi Nord,4.30E+12,7005701
Rivière Missisquoi Nord,4.30E+12,7005864
Rivière Missisquoi Nord,4.30E+12,7005871
Rivière Missisquoi Nord,4.30E+12,7005919
Rivière Missisquoi Nord,4.30E+12,7005937
Rivière Missisquoi Nord,4.30E+12,7005951
Rivière Missisquoi,4.30E+12,7003338
Rivière Missisquoi,4.30E+12,7005532
Rivière Missisquoi Nord,4.30E+12,7005089
Rivière Missisquoi,4.30E+12,7005213
Rivière Missisquoi Nord,4.30E+12,7005255
Rivière Missisquoi Nord,4.30E+12,7005536
Rivière Missisquoi,4.30E+12,7005597
Rivière Missisquoi Nord,4.30E+12,7005645
Rivière Missisquoi Nord,4.30E+12,7005710
Rivière Missisquoi Nord,4.30E+12,7005748
Rivière Missisquoi Nord,4.30E+12,7005780
Rivière Missisquoi,4.30E+12,7005853
Ruisseau de West Field,4.30E+12,7003509
Ruisseau Farrell,4.30E+12,7003546
Ruisseau de West Field,4.30E+12,7003999
Ruisseau de West Field,4.30E+12,7004247
Rivière Missisquoi Nord,4.30E+12,7005157
Ruisseau Ruiter,4.30E+12,7004301
Ruisseau Singer,4.30E+12,7004340
Rivière Missisquoi Nord,4.30E+12,7004420
Ruisseau de West Field,4.30E+12,7004592
Ruisseau de West Field,4.30E+12,7004599
Ruisseau de l'Étang,4.30E+12,7004707
Rivière Missisquoi Nord,4.30E+12,7004728
Ruisseau de l'Étang,4.30E+12,7004741
Rivière Missisquoi Nord,4.30E+12,7004789
Rivière Missisquoi Nord,4.30E+12,7005177
Rivière Missisquoi Nord,4.30E+12,7005234
Rivière Missisquoi Nord,4.30E+12,7005254
Rivière Missisquoi Nord,4.30E+12,7005589
Ruisseau de West Field,4.30E+12,7005601
Rivière Missisquoi Nord,4.30E+12,7005613
Rivière Missisquoi Nord,4.30E+12,7005631
Rivière Missisquoi Nord,4.30E+12,7005658
Rivière Missisquoi Nord,4.30E+12,7005669
Rivière Missisquoi Nord,4.30E+12,7005778
Rivière Missisquoi Nord,4.30E+12,7005855
Ruisseau de West Field,4.30E+12,7005929
Rivière Missisquoi Nord,4.30E+12,7005940
Halfway Creek,4.30E+12,1000063
Halfway Creek,4.30E+12,1000681
Halfway Creek,4.30E+12,1002417
Hubbardton River,4.30E+12,1000817
Mud Brook,4.30E+12,1000230
Big Creek,4.30E+12,1000756
Big Creek,4.30E+12,1001599
Big Creek,4.30E+12,1002148
Mill Brook,4.30E+12,1000560
Mud Brook,4.30E+12,1001600
Mill Brook,4.30E+12,1002062
Mill Brook,4.30E+12,1000735
Mill Brook,4.30E+12,1001156
Mill Brook,4.30E+12,1001916
Mill Brook,4.30E+12,1001572
Mill Brook,4.30E+12,1002210
Mill Brook,4.30E+12,1002264
Endless Brook,4.30E+12,1002384
Giddings Brook,4.30E+12,1000074
Sucker Brook,4.30E+12,1000065
Giddings Brook,4.30E+12,1000160
North Breton Brook,4.30E+12,1001106
North Breton Brook,4.30E+12,1001817
North Breton Brook,4.30E+12,1001850
Hubbardton River,4.30E+12,1001076
Sucker Brook,4.30E+12,1002392
Winchell Creek,4.30E+12,1000068
Mettawee River,4.30E+12,1000105
Mettawee River,4.30E+12,1000416
Mettawee River,4.30E+12,1000436
Big Creek,4.30E+12,1000498
Mettawee River,4.30E+12,1000989
Halfway Creek,4.30E+12,1001629
Big Creek,4.30E+12,1001664
Mettawee River,4.30E+12,1000973
Winchell Creek,4.30E+12,1002143
Big Creek,4.30E+12,1002199
North Breton Brook,4.30E+12,1000377
North Breton Brook,4.30E+12,1000674
Sucker Brook,4.30E+12,1001084
North Breton Brook,4.30E+12,1002183
North Breton Brook,4.30E+12,1002307
