UVM_ID,SGAT_ID,SiltOrSmal,Sand,FineGravel,CourseGrav,Cobble,Boulder,Bedrock,d50,d84,consistenc,Code,DA(sqmi),slope(m/m),daxslope,bkf_width_HAND,q2_width,q500_width,confinement,Percent Cohesive,Percent Mixed,Percent Noncohesive,Percent Null,Average Depth To Bedrock
7001580,90_R25A,18,68,88,100,100,100,100,1.3,4.88,Non-cohesive,7001580,1.5419336771341547,-1.3911969354014906,-0.4027598992375111,0.5330502734318303,1.6919585010377722,1.520707363005439,-1.40370825687973,0.1818,0.0,0.7273,0.0909,-0.3504460950935609
7001529,90_R28T1.05A,0,18,43,93,100,100,100,7.06,14.13,Non-cohesive,7001529,0.0950642948986787,0.433825175748752,0.5289703605641561,-0.4209891092077718,-0.1396119277324978,0.129890232383905,1.072393870250431,0.25,0.0,0.75,0.0,-0.727610127683026
7001529,90_R28T1.05B,0,18,31,57,87,100,100,13.2,59.2,Non-cohesive,7001529,0.0950642948986787,0.433825175748752,0.5289703605641561,-0.4209891092077718,-0.1396119277324978,0.129890232383905,1.072393870250431,0.25,0.0,0.75,0.0,-0.727610127683026
7002704,90_R28T1.5S2.01A,0,10,29,71,94,100,100,10.8,43.13,Non-cohesive,7002704,-0.7253770578679023,0.8210823973900221,0.3670571541565032,-0.6222382072187513,-0.7639297636908193,-0.7844386943990717,0.2673330387096135,0.4444,0.0,0.5556,0.0,-0.727610127683026
7001965,90_R28T1.07-,0,16,26,40,78,100,100,28.63,116.36,Non-cohesive,7001965,-0.2117114535509718,0.8086272618497604,0.7135702257435379,-0.6707047333311863,-0.706107089309486,-0.5667143163381614,0.8402413659908261,0.5,0.0,0.5,0.0,-0.727610127683026
7001997,90_R28T1.3S2.01C,0,36,62,97,100,100,100,3.94,12.14,Non-cohesive,7001997,-1.1055362859250075,0.6227962190192304,-0.1105582787442475,-0.1637535530397333,-0.6244825161111235,-0.8946824856328155,-0.7307783914704408,0.6,0.0,0.2,0.2,0.1201625272577464
7000489,90_R28T1.03-,0,21,25,50,81,100,100,16.0,94.32,Non-cohesive,7000489,0.4346037824959222,0.6171752090501226,0.9622149994883336,0.1580350755951193,-0.052821740212011,-0.21565333100867,-0.5861360139468593,0.5714,0.0,0.3571,0.0714,-0.4312959792788072
7001048,90_R28-,0,9,28,85,100,100,100,9.61,15.82,Non-cohesive,7001048,1.5180216204417318,-0.5981058553511693,0.4257922068156071,0.2145826820901464,0.6531886375815787,0.3450473753651996,-1.4484972550699848,0.0,0.0,0.8,0.2,0.1201625272577464
7001172,90_R25A,18,68,88,100,100,100,100,1.3,4.88,Non-cohesive,7001172,1.5324760630444143,0.1865014619679045,1.272175204491231,0.0780786306596974,0.6905290481810145,0.8140492804461996,0.1515928887937946,0.3333,0.0,0.5556,0.1111,-0.308554027799363
7003111,90_R28T1.05A,0,18,43,93,100,100,100,7.06,14.13,Non-cohesive,7003111,0.1596017584818884,0.1378231028768123,0.2586863820715845,-0.4348363020806454,0.0065993123030298,0.0526396475969449,0.1694842812033606,0.0,0.0,1.0,0.0,-0.727610127683026
7000458,90_R28T1.06-,0,14,18,29,84,100,100,34.33,64.0,Non-cohesive,7000458,-0.1319824257543776,0.6867368423238899,0.6395004747494544,-0.605674981347296,-0.5304757339979495,-0.5515286334586567,0.160122947281608,0.3333,0.0,0.6667,0.0,-0.727610127683026
7000458,90_R28T1.07-,0,16,26,40,78,100,100,28.63,116.36,Non-cohesive,7000458,-0.1319824257543776,0.6867368423238899,0.6395004747494544,-0.605674981347296,-0.5304757339979495,-0.5515286334586567,0.160122947281608,0.3333,0.0,0.6667,0.0,-0.727610127683026
7000458,90_R28T1.05B,0,18,31,57,87,100,100,13.2,59.2,Non-cohesive,7000458,-0.1319824257543776,0.6867368423238899,0.6395004747494544,-0.605674981347296,-0.5304757339979495,-0.5515286334586567,0.160122947281608,0.3333,0.0,0.6667,0.0,-0.727610127683026
7002309,90_R23-,0,52,100,100,100,100,100,1.93,4.4,Non-cohesive,7002309,1.555862461149109,-0.4577382256739978,0.6019053067875574,-0.2650409729715254,1.4803391064149956,1.358667375679537,-1.122658472084164,0.2,0.0,0.6,0.2,0.1201625272577464
7002420,90_R23-,0,52,100,100,100,100,100,1.93,4.4,Non-cohesive,7002420,1.546610454643353,-0.9526972594381288,0.067882323099288,-0.0327328923828016,1.3928983186677475,1.1714598244177703,-1.456970946634159,0.1667,0.0,0.6667,0.1667,-0.0361653057592874
7002202,39_R19-,0,26,43,72,96,96,100,8.11,40.0,Non-cohesive,7002202,2.209529356803168,0.1197641690543486,1.6752747468621418,0.1523464745845939,1.086095888857623,1.317006172119417,0.3756478649047055,0.0,0.0,0.8,0.2,0.1201625272577464
7001657,39_R19-,0,26,43,72,96,96,100,8.11,40.0,Non-cohesive,7001657,2.216093705387608,-0.3103832640604851,1.2214082533551167,-0.1405847725647757,1.8869317343418768,1.823395351705884,-1.0880683327319949,0.0,0.0,0.75,0.25,0.3321056909929394
7002419,39_R19-,0,26,43,72,96,96,100,8.11,40.0,Non-cohesive,7002419,2.209529356803168,-0.1838760150972016,1.3516456903254008,0.4687557032371229,0.67348431721025,1.2158169653651507,1.7280539609466803,0.1429,0.0,0.7143,0.1429,-0.1543027412214813
7002324,39_R17A,0,24,38,53,100,100,100,13.92,47.66,Non-cohesive,7002324,2.3443457251547013,-0.7223519428315587,0.8721512487041545,0.4367192776693979,1.3976852474343129,1.385449536824458,-0.675498315054796,0.1429,0.0,0.7143,0.1429,-0.12207112910073
